step,fvu,dead,mean_act,tokens_per_sec
8900,0.10482,0,1.6571,14103
8950,0.10262,0,1.6575,12230
9000,0.10252,0,1.6527,13505
9050,0.10430,0,1.6615,12753
9100,0.10303,0,1.6598,11507
9150,0.10405,0,1.6466,12540
9200,0.10296,0,1.6640,11151
9250,0.10317,0,1.6554,11829
9300,0.10387,0,1.6517,11966
9350,0.10315,0,1.6570,12890
9400,0.10434,0,1.6608,14110
9450,0.10302,0,1.6613,14485
9500,0.10249,0,1.6577,13242
9550,0.10366,0,1.6554,14205
9600,0.10190,0,1.6616,14370
9650,0.10244,0,1.6560,12981
9700,0.10302,0,1.6606,14396
9750,0.10296,0,1.6546,14642
9800,0.10281,0,1.6567,13711
9850,0.10181,0,1.6627,14233
9900,0.10151,0,1.6596,13904
9950,0.10233,0,1.6557,13954
10000,0.10167,0,1.6598,14123
10050,0.10123,0,1.6652,13532
10100,0.10311,0,1.6638,13817
10150,0.10353,0,1.6600,13965
10200,0.10116,0,1.6583,13375
10250,0.10142,0,1.6619,9927
10300,0.10284,0,1.6615,13977
10350,0.10253,0,1.6562,13882
10400,0.10031,0,1.6637,13646
10450,0.10276,0,1.6628,14102
10500,0.10029,0,1.6640,14086
10550,0.10265,0,1.6576,12000
10600,0.10282,0,1.6600,11157
10650,0.10233,0,1.6655,15027
10700,0.10331,0,1.6593,13177
10750,0.10161,0,1.6641,13608
10800,0.10014,0,1.6661,15264
10850,0.10022,0,1.6653,14315
10900,0.10235,0,1.6607,13476
10950,0.10148,0,1.6651,14520
11000,0.10077,0,1.6643,14275
11050,0.10093,0,1.6619,13898
11100,0.10025,0,1.6630,14092
11150,0.09996,0,1.6673,13576
11200,0.10225,0,1.6682,13154
11250,0.10018,0,1.6642,14493
11300,0.10123,0,1.6679,13874
11350,0.10251,0,1.6624,14082
11400,0.10115,0,1.6679,12522
11450,0.10052,0,1.6570,12310
11500,0.10047,0,1.6692,13285
11550,0.10087,0,1.6681,13864
11600,0.10061,0,1.6732,13354
11650,0.10131,0,1.6707,14163
11700,0.10180,0,1.6694,13694
11750,0.10020,0,1.6664,14699
11800,0.10009,0,1.6714,14403
11850,0.09980,0,1.6680,14999
11900,0.10082,0,1.6615,11734
11950,0.09948,0,1.6657,13007
12000,0.10173,0,1.6686,13132
12050,0.10073,0,1.6673,13913
12100,0.10134,0,1.6676,13285
12150,0.10024,0,1.6735,12932
12200,0.10040,0,1.6737,7481
12250,0.10279,0,1.6754,12704
12300,0.10138,0,1.6716,11915
12350,0.09902,0,1.6726,13162
12400,0.10045,0,1.6684,11917
12450,0.10170,0,1.6744,11901
12500,0.09987,0,1.6640,12538
12550,0.09998,0,1.6747,12434
12600,0.09909,0,1.6685,14489
12650,0.09837,0,1.6789,14655
12700,0.10091,0,1.6809,14671
12750,0.10030,0,1.6632,14990
12800,0.09839,0,1.6732,14163
12850,0.10027,0,1.6688,14863
12900,0.10102,0,1.6752,14087
12950,0.10063,0,1.6675,15467
13000,0.10074,0,1.6678,14826
13050,0.10085,0,1.6716,14270
13100,0.10009,0,1.6733,15190
13150,0.09843,0,1.6713,13723
13200,0.09963,0,1.6694,15284
13250,0.09943,0,1.6720,13948
13300,0.09910,0,1.6656,14348
13350,0.09978,0,1.6614,14051
13400,0.10001,0,1.6614,13063
13450,0.09991,0,1.6725,14523
13500,0.09868,0,1.6728,14238
13550,0.10106,0,1.6650,14839
13600,0.09949,0,1.6788,14153
13650,0.09957,0,1.6694,13976
13700,0.10077,0,1.6726,14390
13750,0.09917,0,1.6720,13653
13800,0.10021,0,1.6784,14205
13850,0.09761,0,1.6807,14270
13900,0.09986,0,1.6770,13985
13950,0.09903,0,1.6683,15054
14000,0.10073,0,1.6763,15066
14050,0.09928,0,1.6758,13715
14100,0.09941,0,1.6654,14135
14150,0.09948,0,1.6765,13899
14200,0.09798,0,1.6696,11051
14250,0.09934,0,1.6753,13532
14300,0.10011,0,1.6662,14110
14350,0.09981,0,1.6687,13382
14400,0.09888,0,1.6773,14661
14450,0.09715,0,1.6696,14765
14500,0.09797,0,1.6743,14667
14550,0.09888,0,1.6737,14128
14600,0.09866,0,1.6686,14293
14650,0.09868,0,1.6739,14641
14700,0.09877,0,1.6794,13630
14750,0.10014,0,1.6758,14156
14800,0.10053,0,1.6758,14569
14850,0.09871,0,1.6769,14742
14900,0.09997,0,1.6690,14444
14950,0.09849,0,1.6738,15215
15000,0.09792,0,1.6726,14464
15050,0.09792,0,1.6713,14555
15100,0.09943,0,1.6716,14301
15150,0.09804,0,1.6717,13867
15200,0.09883,0,1.6741,14314
15250,0.09918,0,1.6745,12593
15300,0.09949,0,1.6778,14038
15350,0.09827,0,1.6771,14681
15400,0.09878,0,1.6788,13822
15450,0.09953,0,1.6775,14899
15500,0.09984,0,1.6741,14477
15550,0.09991,0,1.6780,13991
15600,0.09874,0,1.6727,14475
15650,0.09886,0,1.6829,14895
15700,0.09887,0,1.6798,14290
15750,0.09783,0,1.6713,14382
15800,0.09842,0,1.6746,14264
15850,0.09924,0,1.6732,13494
15900,0.09919,0,1.6677,14781
15950,0.10076,0,1.6715,13678
16000,0.09994,0,1.6719,14109
16050,0.09692,0,1.6727,14135
16100,0.09756,0,1.6814,14366
16150,0.09840,0,1.6724,14481
16200,0.09735,0,1.6816,13701
16250,0.09794,0,1.6755,14472
16300,0.09922,0,1.6724,11115
16350,0.09925,0,1.6737,14355
16400,0.09671,0,1.6805,13712
16450,0.09995,0,1.6776,14297
16500,0.09784,0,1.6822,14391
16550,0.09796,0,1.6814,15105
16600,0.09901,0,1.6813,14080
16650,0.09921,0,1.6713,11364
16700,0.09956,0,1.6819,13381
16750,0.09807,0,1.6778,14935
16800,0.09942,0,1.6757,15376
16850,0.09987,0,1.6752,14647
16900,0.09876,0,1.6786,15109
16950,0.09768,0,1.6867,14524
17000,0.09903,0,1.6726,14738
17050,0.09756,0,1.6806,14600
17100,0.09795,0,1.6749,15069
17150,0.09785,0,1.6851,15033
17200,0.09714,0,1.6818,14522
17250,0.09662,0,1.6772,14321
17300,0.09602,0,1.6842,14451
17350,0.09799,0,1.6798,14410
17400,0.09681,0,1.6787,14671
17450,0.09667,0,1.6777,14197
17500,0.09784,0,1.6864,12566
17550,0.09874,0,1.6804,14251
17600,0.09824,0,1.6774,14019
17650,0.09702,0,1.6784,13265
17700,0.09693,0,1.6804,14143
17750,0.09790,0,1.6727,14368
17800,0.09787,0,1.6707,14097
17850,0.09731,0,1.6750,14176
17900,0.09944,0,1.6833,13852
17950,0.09810,0,1.6872,14920
18000,0.09873,0,1.6876,13881
18050,0.10003,0,1.6796,13896
